frame,leader_x,leader_y,f1_x,f1_y
412,1.4363972,0.00017492304,1.4363855,-1.4999977
413,1.4398614,0.0001758842,1.4398477,-1.4999973
414,1.4432455,0.00017679115,1.4432474,-1.4999974
415,1.4467664,0.00018035351,1.4467419,-1.4999955
416,1.4503487,0.0001793346,1.4503258,-1.4999945
417,1.4538103,0.00018052828,1.4537939,-1.4999943
418,1.4572117,0.00018065458,1.4571706,-1.4999956
419,1.4607097,0.00018305477,1.4606967,-1.4999907
420,1.4642942,0.00018422195,1.4642743,-1.4999924
421,1.4677591,0.00018543072,1.4677317,-1.4999914
422,1.4711459,0.00018627106,1.4711337,-1.4999919
423,1.4746614,0.00018961236,1.4746381,-1.4999886
424,1.478245,0.00018872395,1.478221,-1.4999877
425,1.4817046,0.00019033338,1.4816885,-1.4999874
426,1.4851062,0.00019035945,1.4850638,-1.4999887
427,1.4886086,0.000192821,1.4885914,-1.4999831
428,1.4921961,0.00019236849,1.492168,-1.4999826
429,1.4956611,0.00019361859,1.4956323,-1.4999816
430,1.4990495,0.00019444257,1.4990155,-1.4999815
431,1.5025616,0.00019741067,1.5025315,-1.4999784
432,1.506145,0.00019721573,1.5061128,-1.49998
433,1.5096037,0.00019871167,1.5095698,-1.4999785
434,1.5130008,0.00019904823,1.5129726,-1.4999793
435,1.5165058,0.00020187696,1.516469,-1.4999778
436,1.52009,0.0002029288,1.5200573,-1.4999778
437,1.5235546,0.0002040581,1.5235215,-1.4999774
438,1.5269386,0.00020500607,1.5269063,-1.4999772
439,1.530455,0.00020855575,1.5304239,-1.4999739
440,1.5340354,0.0002072498,1.5340029,-1.4999746
441,1.5374973,0.00020891163,1.5374653,-1.4999739
442,1.5408841,0.00020961923,1.540864,-1.4999743
443,1.5443985,0.00021290069,1.5443668,-1.4999721
444,1.5479821,0.00021252796,1.5479553,-1.4999721
445,1.551443,0.0002140396,1.5514165,-1.4999714
446,1.5548434,0.00021437817,1.5548133,-1.4999716
447,1.5583448,0.00021721372,1.5583223,-1.4999685
448,1.5619296,0.00021784435,1.5619076,-1.4999701
449,1.5653938,0.00021937733,1.5653666,-1.4999689
450,1.5687807,0.00022012781,1.5687715,-1.499969
451,1.5722963,0.00022387749,1.5722752,-1.4999663
452,1.5758802,0.00022212279,1.5758586,-1.4999658
453,1.5793395,0.00022375752,1.5793271,-1.4999657
454,1.5827432,0.00022395019,1.5827118,-1.4999653
455,1.5862392,0.00022643153,1.5862302,-1.4999615
456,1.5898248,0.00022816297,1.5898114,-1.4999616
457,1.5932884,0.00022868277,1.5932738,-1.4999609
458,1.5966847,0.00022924997,1.5966719,-1.4999613
459,1.6001883,0.00023183186,1.6001741,-1.4999584
460,1.6037757,0.00023288315,1.6037604,-1.499958
461,1.6072402,0.00023356802,1.6072251,-1.4999576
462,1.6106294,0.00023391393,1.6106203,-1.4999573
463,1.6141427,0.00023765728,1.614126,-1.4999548
464,1.6177269,0.00023756106,1.6177099,-1.4999548
465,1.6211867,0.0002390903,1.621174,-1.4999534
466,1.6245892,0.00023900793,1.6245613,-1.499953
467,1.6280906,0.00024275176,1.6280719,-1.4999505
468,1.6316749,0.00024308545,1.6316569,-1.4999506
469,1.6351398,0.00024420914,1.635121,-1.49995
470,1.6385388,0.00024462826,1.6385046,-1.4999498
471,1.6420432,0.0002478403,1.6420219,-1.4999465
472,1.6456276,0.00024852355,1.6456037,-1.4999478
